property_subtype,property_type
house,house
apartment,apartment
villa,house
mixed-use-building,house
service-flat,apartment
duplex,apartment
exceptional-property,house
triplex,apartment
apartment-block,apartment
other-property,house
country-cottage,house
loft,apartment
mansion,house
town-house,house
ground-floor,apartment
new-real-estate-project-apartments,apartment
bungalow,house
kot,apartment
farmhouse,house
penthouse,apartment
new-real-estate-project-houses,house
flat-studio,apartment
chalet,house
manor-house,house
castle,house
